timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768087158032,406,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-67,text,true,,414,135,13,45,https://petstore.swagger.io/v2/store/inventory,406,0,270
1768087157624,819,[Stress] GET Pets Available,200,OK,2.Stress Test (Ramp Up) 2-6,text,true,,145702,153,17,45,https://petstore.swagger.io/v2/pet/findByStatus?status=available,544,0,257
1768087158042,411,[Endurance] GET Pets,200,OK,4.Endurance Test (Sustained Load) 4-1,text,true,,333,156,15,45,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,410,0,279
1768087157884,575,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-70,text,true,,333,156,13,45,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,575,0,438
1768087157649,824,[Stress] GET Pets Available,200,OK,2.Stress Test (Ramp Up) 2-4,text,true,,145710,153,17,45,https://petstore.swagger.io/v2/pet/findByStatus?status=available,536,0,262
1768087158042,431,[Endurance] GET Inventory,200,OK,4.Endurance Test (Sustained Load) 4-3,text,true,,414,135,15,45,https://petstore.swagger.io/v2/store/inventory,431,0,280
1768087158089,403,[Endurance] POST Order,200,OK,4.Endurance Test (Sustained Load) 4-13,text,true,,442,292,15,45,https://petstore.swagger.io/v2/store/order,403,0,266
1768087158105,395,[Stress] GET Pets Pending,200,OK,2.Stress Test (Ramp Up) 2-5,text,true,,2691,151,17,45,https://petstore.swagger.io/v2/pet/findByStatus?status=pending,395,0,256
1768087158131,386,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-68,text,true,,414,135,13,45,https://petstore.swagger.io/v2/store/inventory,385,0,254
1768087158018,535,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-71,text,true,,333,156,13,45,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,535,0,406
1768087158171,405,[Endurance] GET Inventory,200,OK,4.Endurance Test (Sustained Load) 4-14,text,true,,414,135,15,46,https://petstore.swagger.io/v2/store/inventory,403,0,267
1768087158184,412,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-62,text,true,,414,135,14,46,https://petstore.swagger.io/v2/store/inventory,411,0,280
1768087158193,403,[Endurance] POST Order,200,OK,4.Endurance Test (Sustained Load) 4-5,text,true,,443,293,15,46,https://petstore.swagger.io/v2/store/order,402,0,271
1768087158184,412,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-65,text,true,,333,156,14,46,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,411,0,280
1768087158199,411,[Endurance] GET Pets,200,OK,4.Endurance Test (Sustained Load) 4-4,text,true,,333,156,15,45,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,411,0,273
